Postal Code,Neighbourhood,Borough,Population,Density (people/km2),Average Income,Transit Commuting %,% Renters
M1B,Malvern,Scarborough,44324,5003,25677,13.6,8.2
M1B,Rouge,Scarborough,22724,791,29230,12.1,2.7
M1C,Highland Creek,Scarborough,12853,2505,33640,9.7,1.8
M1C,Port Union,Scarborough,12450,2310,48117,11.1,2
M1C,Rouge Hill,Scarborough,11167,2878,32858,13.5,8.6
M1C,West Rouge,Scarborough,9300,2090,44605,14.1,0.8
M1E,Guildwood,Scarborough,12820,2688,40806,11.6,8
M1E,Morningside,Scarborough,11472,4112,27139,14.9,13.2
M1E,West Hill,Scarborough,25632,2676,27936,14.6,14.7
M1G,Woburn,Scarborough,48507,3636,26190,13.3,16
M1J,Scarborough Village,Scarborough,12796,6303,24413,16.2,22
M1K,Ionview,Scarborough,13025,6714,25078,21.1,22.5
M1K,Scarborough Junction,Scarborough,25780,3479,25405,18.2,15.7
M1L,Oakridge,Scarborough,13368,7187,21155,20.8,27.1
M1L,Clairlea,Scarborough,11104,3102,33392,18.1,12.7
M1L,Eglinton East,Scarborough,22387,6931,25307,19.4,19.1
M1M,Cliffcrest,Scarborough,14531,2073,38182,12.5,12.2
M1M,Cliffside,Scarborough,9386,3831,32701,14.8,11.4
M1N,Birch Cliff,Scarborough,12266,3525,48965,11.4,15.2
M1P,Dorset Park,Scarborough,14189,3331,26525,15.2,9.6
M1P,Bendale,Scarborough,28945,3409,29723,13,10.4
M1P,Scarborough City Centre,Scarborough,16403,6358,26756,14.6,15.6
M1R,Maryvale,Scarborough,8800,3860,30944,12.3,11.4
M1R,Wexford,Scarborough,17844,2239,28556,14,15.1
M1S,Agincourt,Scarborough,44577,3580,25750,11.1,5.9
M1T,Tam O'Shanter-Sullivan,Scarborough,27235,5006,27717,12.2,15.3
M1V,L'Amoreaux,Scarborough,45862,6414,26375,13.4,11.4
M1V,Milliken,Scarborough,26272,3654,25243,12.3,3.9
M1W,Steeles,Scarborough,24696,5464,26660,10.5,5.1
M2H,Hillcrest,North York,18327,3426,33465,12,8
M2J,Henry Farm,North York,2790,3066,56395,15.6,15.9
M2J,Don Valley Village,North York,29740,5764,30442,17.1,16.6
M2J,Parkway Forest,North York,8498,4970,24333,21.7,24.2
M2J,Pleasant View,North York,16615,5465,29250,13.2,8.2
M2K,Bayview Village,North York,12280,2966,46752,14.4,15.6
M2L,York Mills/Siver Hill,North York,17564,2409,92099,10,11.8
M2M,Bayview Woods-Steeles,North York,13298,3267,41485,11.2,13.9
M2M,Newtonbrook,North York,36046,4110,33428,16.6,14.3
M2N,Willowdale East,North York,43144,5618,39895,15.6,12.9
M2N,Lansing,North York,10052,3285,46631,18.7,17
M2P,York Mills West,North York,,,,,
M2P,Hoggs Hollow,North York,3123,1132,222560,4.3,2.9
M2R,Willowdale West,North York,23265,,,,
M2R,Branson,North York,8017,6414,27156,18,27.2
M2R,Westminster,North York,16386,6914,27826,14.6,23.4
M3A,Parkwoods,North York,26533,5349,34811,14,22.5
M3A,Graydon Hall,North York,4714,6639,23350,15.6,35.2
M3B,Don Mills North,North York,21372,2377,47515,10.8,18.6
M3B,Banbury,North York,6641,2442,92319,6.1,4.8
M3B,Bridle Path,North York,1540,445,314107,7.1,2.3
M3C,Flemingdon Park,North York,21287,8760,23471,16.6,19.6
M3H,Bathurst Manor,North York,14945,3187,34169,13.4,18.6
M3H,Wilson Heights,North York,13732,3317,37978,15.9,18
M3H,Armour Heights,North York,4384,1914,116651,10.8,16.1
M3J,York University Heights,North York,26140,1979,24432,15.2,20.4
M3J,Elia (Jane and Finch),North York,48003,6267,22691,13,18.8
M3K,Downsview East,North York,36613,2270,26751,14.4,18.3
M3L,Downsview West,,,,,,
M3M,Downsview Central ,,,,,,
M3N,Downsview Northwest,,,,,,
M4A,Victoria Village,North York,17047,3612,29657,15.6,23.4
M4B,Parkview Hill,East York,17740,3591,33517,15.8,19.4
M4C,Crescent Town,East York,8157,20393,23021,24.5,20.3
M4E,The Beaches,East Toronto,20416,5719,67536,13.8,16.2
M4G,Leaside,East York,13876,4938,82670,9.7,10.5
M4G,Governor's Bridge/Bennington Heights,East York,2112,1129,129904,7.1,13.3
M4H,Thorncliffe Park,East York,17949,5809,25340,16.7,32.5
M4J,The Danforth East,East Toronto,21440,8576,33847,24.2,18.3
M4J,Leslieville,East Toronto,23567,8761,30886,19.9,15.4
M4J,Old East York,East York,52220,6577,33172,22,19.1
M4K,Playter Estates,East Toronto,3968,7936,44557,26.8,35
M4K,Riverdale,East Toronto,31007,7771,40139,20,17.8
M4K,The Danforth West,East Toronto,7849,9022,44979,23.3,19
M4L,Upper Beaches,East Toronto,19830,6791,44346,18.6,17.4
M4M,Port Lands,Downtown Toronto,571,94,36243,14.9,10.5
M4N,Lawrence Park,Central Toronto,6653,1828,214110,8.3,4.6
M4P,Davisville North,Central Toronto,23727,7556,55735,26,31.7
M4R,Lytton Park,Central Toronto,6494,5073,127356,15.1,12.9
M4S,Davisville ,Central Toronto,,,,,
M4T,Moore Park,Central Toronto,4474,3959,154825,11,7.5
M4T,Summerhill,Central Toronto,5100,7846,88937,17.5,24.1
M4V,Casa Loma,Central Toronto,3597,5369,82203,18.1,32.9
M4V,Deer Park,Central Toronto,15165,10387,80704,26.4,41.3
M4V,South Hill,Central Toronto,6218,4935,120453,16.1,29.8
M4W,Rosedale,Downtown Toronto,7672,2821,213941,11.3,11.9
M4X,Cabbagetown,Downtown Toronto,11120,7943,50398,18.5,29.6
M4Y,Church and Wellesley,Downtown Toronto,13397,24358,37653,25.1,57
M5A,Corktown,Downtown Toronto,4484,6693,54681,15.5,17.6
M5A,Distillery District/West Don Lands,Downtown Toronto,6378,4795,40617,19.5,37.5
M5A,"Regent Park, Trefann Court",Downtown Toronto,10387,16230,19521,16,31.2
M5B,Garden District,Downtown Toronto,8240,15846,37614,17,35.5
M5C,St. James Town,Downtown Toronto,14666,63765,22341,27.4,46.2
M5G,Central Bay Street,Downtown Toronto,4787,43518,40598,17.1,49.3
M5H,Financial District,Downtown Toronto,548,1166,63952,18.2,17.3
M5J,Toronto Islands,Downtown Toronto,627,198,43344,18.3,5.6
M5M,Bedford Park,North York,13749,6057,80827,15.2,10.1
